0,,
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3,0,3
60,103,47
213,453,100
285,450,131
319,400,161
281,244,183
192,78,164
175,156,131
77,81,64
8,0,8
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3,0,3
85,428,33
193,403,92
256,325,144
223,94,186
187,22,178
355,631,125
233,569,72
107,300,58
17,0,17
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3,0,3
28,0,28
61,0,61
86,0,86
103,0,103
106,0,106
94,0,94
69,0,69
39,0,39
6,0,6
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3,0,3
51,31,47
107,14,103
277,389,142
277,236,183
394,683,117
348,781,61
254,564,92
96,158,69
14,0,14
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3,0,3
65,144,47
200,372,106
210,164,153
299,311,175
352,503,147
273,311,158
147,67,128
65,6,64
11,0,11
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3,0,3
31,0,31
64,0,64
100,0,100
136,0,136
114,0,114
125,0,125
75,0,75
42,0,42
8,0,8
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3,0,3
80,353,36
212,594,61
337,711,89
377,639,119
280,236,183
363,628,128
205,283,122
92,94,75
14,0,14
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3,0,3
36,0,36
78,0,78
111,0,111
327,383,172
235,119,186
119,0,119
106,0,106
90,103,72
11,0,11
