20.0000,6.1977
20.0000,3.4194
20.0000,2.6264
20.0000,2.2697
20.0000,2.0972
20.0000,2.0081
20.0000,1.7356
20.0000,1.6941
20.0000,1.1443
20.0000,0.7419
26.9124,0.0000
27.0000,3.3198
27.0000,4.7103
27.0000,5.2684
27.0000,4.6986
27.0000,3.4521
27.0000,0.5554
24.7198,0.0000
21.5219,0.0000
20.0000,0.4622
20.0000,1.1478
20.0000,1.5109
20.0000,1.7165
20.0000,2.0923
20.0000,2.2885
20.0000,2.4762
20.0000,2.6565
20.0000,2.7491
20.0000,2.8680
20.0000,2.9825
20.0000,3.0523
20.0000,3.0686
20.0000,3.0387
20.0000,2.9547
20.0000,2.8709
20.0000,2.8837
20.0000,2.9491
20.0000,2.9890
20.0000,3.0559
20.0000,3.2281
20.0000,3.4381
20.0000,3.5647
20.0000,3.6153
20.0000,3.6736
20.0000,3.6944
20.0000,3.7454
20.0000,3.7946
20.0000,3.7750
20.0000,3.8087
20.0000,3.7818
20.0000,3.7773
20.0000,3.8100
20.0000,3.8589
20.0000,3.9228
20.0000,3.9331
20.0000,3.9228
20.0000,3.6119
20.0000,3.5180
20.0000,3.4308
22.1481,0.0000
26.9560,0.0000
25.8451,0.0000
24.4901,0.0000
23.7586,0.0000
20.0000,0.9876
20.0000,2.6420
20.0000,3.3527
20.0000,3.6944
20.0000,3.7972
20.0000,3.8738
20.0000,3.9155
20.0000,4.0509
20.0000,4.1694
20.0000,4.2883
20.0000,4.2524
20.0000,4.2500
20.0000,4.2511
20.0000,4.2526
20.0000,4.2526
20.0000,4.2244
20.0000,2.8047
20.0000,1.1353
24.4607,0.0000
27.0000,1.2411
27.0000,2.6365
27.0000,3.1711
27.0000,2.6415
27.0000,1.2558
22.6269,0.0000
20.0000,1.3713
20.0000,2.6942
20.0000,3.2398
20.0000,3.5637
20.0000,3.6815
20.0000,3.7238
20.0000,3.7620
20.0000,3.7078
20.0000,3.7369
20.0000,3.5936
20.0000,2.5358
20.0000,3.0070
20.0000,2.8973
20.0000,2.9967
20.0000,2.5711
20.0000,0.1482
25.8183,0.0000
27.0000,2.0387
27.0000,3.4365
27.0000,4.4941
27.0000,4.9030
27.0000,4.2807
27.0000,2.9751
27.0000,0.2093
23.1753,0.0000
20.0000,0.1040
20.0000,1.1315
20.0000,1.7175
20.0000,1.8946
20.0000,2.0492
20.0000,2.0797
