0.2168,,,
0.2814,,-10,3
0.3131,,-9,4
0.332,,-8,5
0.3484,,-7,19
0.3658,,-6,6
0.9434,,-5,4
1.159,,-4,6
2.4996,,-3,12
3.8307,,-2,3
11.6826,,-1,2
18.8056,,0,24
23.2642,,1,18
25.7805,,2,16
25.4163,,3,37
22.8271,,4,55
15.8079,,5,54
11.0092,,6,79
7.7216,,7,148
5.6939,,8,158
4.4065,,9,157
3.4714,,10,192
2.8252,,11,267
1.7423,,12,249
0.9347,,13,235
0.1735,,14,222
-0.5676,,15,247
-1.0909,,16,245
-1.6202,,17,267
-2.1313,,18,249
-2.5247,,19,256
-2.7515,,20,312
-2.824,,21,325
-2.7181,,22,280
-2.5514,,23,291
-2.5875,,24,311
-2.7948,,25,370
-2.983,,26,365
-3.2286,,27,357
-3.7408,,28,367
-4.4181,,29,307
-4.9611,,30,285
-5.3043,,31,242
-5.6157,,32,239
-5.8188,,33,216
-6.0632,,34,189
-6.3099,,35,167
-6.3869,,36,133
-6.5472,,37,120
-6.5712,,38,115
-6.6126,,39,94
-6.7439,,40,83
-6.9411,,41,73
-7.2,,42,67
-7.35,,43,59
-7.4269,,44,52
-6.7953,,45,40
-6.488,,46,32
-6.2482,,47,19
3.3552,,48,9
8.8048,,49,1
7.6741,,50,-8760
6.4906,,,
6.0508,,,
0.9581,,,
-2.5138,,,
-4.6762,,,
-5.977,,,
-6.5933,,,
-6.9975,,,
-7.2581,,,
-7.7146,,,
-8.1887,,,
-8.6871,,,
-8.8165,,,
-8.9265,,,
-9.0198,,,
-9.102,,,
-10,,,
-9.1847,,,
-6.0035,,,
-1.4617,,,
6.0711,,,
11.488,,,
15.0372,,,
17.1192,,,
16.6247,,,
13.5881,,,
6.5065,,,
1.0137,,,
-2.2032,,,
-4.0418,,,
-5.2573,,,
-5.8928,,,
-6.2187,,,
-6.4499,,,
-6.4206,,,
-6.5225,,,
-6.2214,,,
-3.5227,,,
-3.899,,,
-3.5859,,,
-3.724,,,
-2.7031,,,
3.1574,,,
9.8728,,,
15.4206,,,
19.4,,,
22.8843,,,
24.9575,,,
24.3479,,,
21.5197,,,
14.707,,,
9.3838,,,
6.2955,,,
4.4444,,,
2.9446,,,
2.2641,,,
1.7329,,,
1.5175,,,
1.1894,,,
0.9969,,,
1.4316,,,
1.8364,,,
1.4019,,,
1.2902,,,
1.1036,,,
1.1608,,,
7.0111,,,
13.42,,,
19.5162,,,
24.2532,,,
28.0614,,,
29.5824,,,
28.7933,,,
25.1202,,,
17.7608,,,
12.7689,,,
9.3626,,,
7.4453,,,
6.3833,,,
5.249,,,
4.7752,,,
5.0271,,,
4.5042,,,
4.0499,,,
3.6905,,,
3.1838,,,
3.0054,,,
2.8802,,,
2.7975,,,
3.0845,,,
8.6302,,,
15.1681,,,
21.1646,,,
25.6599,,,
28.4863,,,
29.8273,,,
29.0433,,,
25.9628,,,
18.9759,,,
13.5718,,,
10.1284,,,
7.8879,,,
6.3591,,,
5.2649,,,
4.6004,,,
4.0847,,,
3.7698,,,
3.586,,,
3.3839,,,
3.4493,,,
3.6597,,,
3.6454,,,
3.5551,,,
3.7468,,,
8.4452,,,
14.3971,,,
20.3064,,,
25.3562,,,
28.5853,,,
30.0534,,,
29.7556,,,
26.8444,,,
20.1302,,,
14.8625,,,
11.4048,,,
9.1567,,,
7.5412,,,
6.3871,,,
5.5048,,,
4.9728,,,
4.5334,,,
4.3628,,,
4.1352,,,
4.1751,,,
4.1698,,,
4.1528,,,
4.3145,,,
4.5027,,,
10.4747,,,
17.2193,,,
23.1622,,,
27.9089,,,
31.2088,,,
32.4847,,,
32.1228,,,
28.9079,,,
21.9497,,,
16.552,,,
13.0931,,,
10.9526,,,
9.4774,,,
8.4914,,,
7.8945,,,
7.5193,,,
7.7581,,,
7.8545,,,
8.1761,,,
8.3415,,,
8.161,,,
7.8746,,,
7.7242,,,
7.9124,,,
13.1007,,,
18.8738,,,
24.5337,,,
29.4819,,,
32.8085,,,
34.0163,,,
33.7348,,,
30.3814,,,
23.9092,,,
18.3219,,,
14.6998,,,
12.4474,,,
10.8978,,,
9.7701,,,
9.0894,,,
8.6628,,,
8.4019,,,
8.2353,,,
7.9428,,,
8.151,,,
8.4639,,,
8.633,,,
8.8295,,,
9.0174,,,
10.0511,,,
11.1657,,,
12.4468,,,
21.6241,,,
28.4087,,,
32.0196,,,
32.833,,,
31.1168,,,
24.636,,,
