0,,,,
0,2.1,0,0,63
0,2.3,0,0,61
0,2.1,0,0,61
0,2.1,0,0,61
0,2.1,0,0,59
0,1.8,0,0,56
3.3,2.2,0,0,59
2.2,2.2,0,7,36
3.3,2.5,68,87,44
7.2,1.8,16,113,42
7.8,1.5,746,90,67
8.9,1.8,933,65,80
9.4,1.8,940,40,80
10.6,1.5,935,18,90
10,1.5,826,4,83
9.4,1.7,671,0,86
6.7,1.4,79,13,85
5.6,1.4,0,0,84
2.8,1.6,0,0,80
2.2,1.6,0,0,79
1.7,1.4,0,0,76
0.6,1.4,0,0,66
0,1.7,0,0,64
-4.4,2,0,0,34
-5.6,1.8,0,0,35
-7.2,1.4,0,0,37
-8.9,1.3,0,0,36
-9.4,1.3,0,0,36
-10.6,1.2,0,0,36
-11.7,1,0,0,38
-12.2,1.1,0,0,37
-12.2,1,0,3,38
-12.8,1,3,26,37
-12.8,0.8,4,47,39
-12.8,0.8,4,63,39
-13.9,0.8,4,72,39
-15,0.8,4,72,38
-15,0.8,4,63,38
-15,0.7,4,47,40
-16.1,0.6,3,26,40
-17.2,0.6,1,3,39
-17.8,0.6,0,0,39
-17.8,0.5,0,0,41
-18.3,0.5,0,0,40
-18.3,0.4,0,0,41
-18.9,0.5,0,0,40
-19.4,0.5,0,0,40
-18.9,0.5,0,0,40
-19.4,0.5,0,0,40
-18.9,0.5,0,0,40
-18.9,0.4,0,0,40
-19.4,0.5,0,0,40
-20,0.4,0,0,40
-20.6,0.4,0,0,51
-20.6,0.4,0,0,40
-20.6,0.4,0,7,47
-20.6,0.4,33,77,51
-21.1,0.3,9,102,47
-22.2,0.3,9,136,46
-20,0.3,916,64,63
-18.9,0.4,889,39,60
-18.9,0.3,453,101,61
-19.4,0.4,449,68,62
-20.6,0.4,613,4,59
-20.6,0.3,54,14,57
-21.1,0.3,0,0,58
-21.7,0.3,0,0,58
-21.7,0.3,0,0,56
-20.6,0.3,0,0,59
-20.6,0.3,0,0,59
-20.6,0.4,0,0,58
-22.2,0.3,0,0,59
-23.3,0.2,0,0,62
-24.4,0.2,0,0,67
-23.3,0.1,0,0,70
-23.3,0.3,0,0,66
-23.3,0.2,0,0,68
-23.3,0.2,0,0,69
-23.3,0.2,0,0,68
-23.9,0.2,0,22,65
-22.8,0.3,374,101,66
-20,0.3,547,116,69
-16.7,0.4,932,92,69
-16.1,0.5,964,67,70
-15,0.6,964,44,69
-11.7,0.5,938,18,73
-12.8,0.6,857,1,71
-14.4,0.6,682,0,69
-16.7,0.5,116,11,68
-20,0.3,0,0,68
-20,0.4,0,0,67
-19.4,0.4,0,0,67
-20,0.3,0,0,59
-19.4,0.4,0,0,59
-18.9,0.4,0,0,61
-18.9,0.5,0,0,66
-17.8,0.5,0,0,67
-18.3,0.5,0,0,67
-16.1,0.5,0,0,70
-1.1,0.5,0,0,87
-11.7,0.5,0,0,74
-9.4,0.6,0,0,71
-11.1,0.7,0,0,65
-5.6,0.8,0,22,71
-1.7,0.8,618,107,71
2.2,1.4,801,105,70
4.4,2,829,84,63
7.2,1.4,792,68,68
8.9,1.4,864,37,73
10.6,1.4,862,16,76
6.1,2.3,819,1,71
5.6,2.2,644,0,70
3.3,2.2,86,14,66
-1.1,1.5,0,0,66
-1.1,1.8,0,0,64
-1.1,1.6,0,0,65
-3.3,1.6,0,0,69
-2.2,1.7,0,0,66
-2.8,1.6,0,0,66
-2.2,1.4,0,0,68
-3.3,1.4,0,0,66
-3.3,1.2,0,0,68
0,1.2,0,0,75
1.1,1.3,0,0,76
-2.8,1.3,0,0,71
-2.2,1.4,0,0,71
-2.8,1.3,0,0,71
-2.8,1.2,0,24,71
2.2,1.4,668,110,75
7.2,1.1,788,104,75
9.4,1,891,90,84
10.6,1.7,921,65,79
12.8,1.3,964,45,95
11.7,2,941,17,87
11.7,1.7,837,0,84
10,2.4,599,4,68
5,2.8,89,14,62
4.4,2.4,0,0,63
1.7,2.3,0,0,62
2.2,2.3,0,0,62
2.8,2,0,0,66
0,2.3,0,0,68
1.1,2,0,0,75
4.4,1.4,0,0,82
0.6,1.6,0,0,69
